tipo;numero;anoassinatura;normaNome;ementa;dataassinatura;apelido;origem;origem_tipo;origem_numero;origem_ano;autor;partido;uf;link_origem;classe;classe_extra;url;index;simbólica;simbólica_tipo;competencia_exclusiva;controle
LEI-n;13656;2018;Lei nº 13.656 de 30/04/2018;Isenta os candidatos que especifica do pagamento de taxa de inscrição em concursos para provimento de cargo efetivo ou emprego permanente em órgãos ou entidades da administração pública direta e indireta da União.;02/05/2018;;PLS 295/2007;PLS;295;2007;Senadora Serys Slhessarenko;PT;MT;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pls-295-2007;Política Social / Proteção Social / Assistência Social;Política Social;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-04-30;13656";ISENÇÃO , CANDIDATO , CADASTRO , PROGRAMA DE GOVERNO , DOADOR , PAGAMENTO , TAXA DE INSCRIÇÃO , CONCURSO PUBLICO , PROVIMENTO , CARGO EFETIVO , EMPREGO PUBLICO , ORGÃOS , ENTIDADE , ADMINISTRAÇÃO PUBLICA , ADMINISTRAÇÃO INDIRETA , ADMINISTRAÇÃO DIRETA .;nao;;não;nao okay
LEI-n;13655;2018;Lei nº 13.655 de 25/04/2018;Inclui no Decreto-Lei nº 4.657, de 4 de setembro de 1942 (Lei de Introdução às Normas do Direito Brasileiro), disposições sobre segurança jurídica e eficiência na criação e na aplicação do direito público.;26/04/2018;;PLS 349/2015;PLS;349;2015;Senador Antonio Anastasia;PSDB;MG;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pls-349-2015;Jurídico / Direito Civil;Jurídico;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-04-25;13655";ACRESCIMO , DISPOSITIVOS , LEI DE INTRODUÇÃO , CODIGO CIVIL , CORRELAÇÃO , INTERPRETAÇÃO , SEGURANÇA , JURIDICA , EFICIENCIA , CRIAÇÃO , APLICAÇÃO , LEGISLAÇÃO , DIREITO PUBLICO , PROCESSO ADMINISTRATIVO , PROCESSO JUDICIAL .;nao;;não;nao okay
LEI-n;13654;2018;Lei nº 13.654 de 23/04/2018;"Altera o Decreto-Lei nº 2.848, de 7 dezembro de 1940 (Código Penal), para dispor sobre os crimes de furto qualificado e de roubo quando envolvam explosivos e do crime de roubo praticado com emprego de arma de fogo ou do qual resulte lesão corporal grave; e altera a Lei nº 7.102, de 20 de junho de 1983, para obrigar instituições que disponibilizem caixas eletrônicos a instalar equipamentos que inutilizem cédulas de moeda corrente.";24/04/2018;;PLS 149/2015;PLS;149;2015;Senador Otto Alencar;PSD;BA;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pls-149-2015;Jurídico / Direito Penal e Penitenciário;Jurídico;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-04-23;13654";CRITERIOS , OBRIGATORIEDADE , INSTALAÇÃO , EQUIPAMENTOS , INUTILIZAÇÃO , DINHEIRO , PAPEL-MOEDA , INSTITUIÇÃO FINANCEIRA , BANCOS , HIPOTESE , ROUBO , ASSALTO , VIOLAÇÃO , DISPOSITIVOS , SAQUE .;nao;;não;nao okay
LEI-n;13653;2018;Lei nº 13.653 de 18/04/2018;Dispõe sobre a regulamentação da profissão de arqueólogo e dá outras providências.;19/04/2018;;PLS 1/2014;PLS;1;2014;Senadora Vanessa Grazziotin;PCdoB;AM;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pls-1-2014;Política Social / Trabalho e Emprego / Regulamentação Profissional;Trabalho e Emprego;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-04-18;13653";REGULAMENTAÇÃO , PROFISSÃO , DIPLOMADO , POS-GRADUAÇÃO , ATIVIDADE CIENTIFICA , ARQUEOLOGIA .;nao;;não;nao okay
LEI-n;13652;2018;Lei nº 13.652 de 13/04/2018;Institui o Dia Nacional de Conscientização sobre o Autismo.;16/04/2018;;PLS 321/2010;PLS;321;2010;Senador Flávio Arns;PSDB;PR;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pls-321-2010;Honorífico / Data Comemorativa;Data Comemorativa;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-04-13;13652";CRIAÇÃO , Dia Nacional de Conscientização sobre o Autismo .;sim;Data Comemorativa;não;nao okay
LEI-n;13651;2018;Lei nº 13.651 de 11/04/2018;Cria a Universidade Federal do Delta do Parnaíba (UFDPar), por desmembramento da Universidade Federal do Piauí (UFPI), e cria a Universidade Federal do Agreste de Pernambuco (Ufape), por desmembramento da Universidade Federal Rural de Pernambuco (UFRPE).;12/04/2018;;PLC 5272/2016;PL;5272;2016;Poder Executivo;BR;BR;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-5272-2016;Administração Pública / Organização Administrativa / Administração Pública Indireta / Política Social / Educação / Educação Superior;Educação;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-04-11;13651";CRIAÇÃO , UNIVERSIDADE FEDERAL , UNIVERSIDADE FEDERAL DO DELTA DO PARNAIBA (UFDPAR) , MUNICIPIO , PARNAIBA (PI) , ESTADO DO PIAUI (PI) , DESMEMBRAMENTO , UNIVERSIDADE FEDERAL DO PIAUI (UFPI) .;nao;;sim;nao okay
LEI-n;13650;2018;Lei nº 13.650 de 11/04/2018;"Dispõe sobre a certificação das entidades beneficentes de assistência social, na área de saúde, de que trata o art. 4º da Lei nº 12.101, de 27 de novembro de 2009; e altera as Leis nºs 12.101, de 27 de novembro de 2009, e 8.429, de 2 de junho de 1992.";12/04/2018;;PLC 8327/2017;PL;8327;2017;Poder Executivo;BR;BR;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-8327-2017;Política Social / Proteção Social / Assistência Social / Política Social / Saúde / Administração Pública / Terceiro Setor / Parcerias Público-Privadas e Desestatização;Política Social;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-04-11;13650";ACRESCIMO , ATO , IMPROBIDADE , TRANSFERENCIA , RECURSOS , ENTIDADE , INICIATIVA PRIVADA , PRESTAÇÃO DE SERVIÇO , SAUDE , AUSENCIA , CONTRATO , CONVENIO .;nao;;não;nao okay
LEI-n;13649;2018;Lei nº 13.649 de 11/04/2018;Dispõe sobre o Serviço de Retransmissão de Rádio (RTR) na Amazônia Legal.;12/04/2018;;PLC 2802/2015;PL;2802;2015;Pauderney Avelino;UNIÃO;AM;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-2802-2015;Infraestrutura / Comunicações / Rádio e TV;Comunicações;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-04-11;13649";CRITERIOS , SERVIÇO , RETRANSMISSÃO , RADIO , EMISSORA , RADIODIFUSÃO , ABRANGENCIA , Amazônia Legal .;nao;;não;nao okay
LEI-n;13648;2018;Lei nº 13.648 de 11/04/2018;Dispõe sobre a produção de polpa e suco de frutas artesanais em estabelecimento familiar rural e altera a Lei nº 8.918, de 14 de julho de 1994.;12/04/2018;;PLC 7083/2014;PL;7083;2014;Alceu Moreira;MDB;RS;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-7083-2014;Economia e Desenvolvimento / Agropecuária e Abastecimento / Política Social / Saúde / Defesa e Vigilância Sanitária;Agropecuária, Abastecimento, Agricultura e Pesca;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-04-11;13648";REGULAMENTAÇÃO , PRODUÇÃO ARTESANAL , MATERIA-PRIMA , SUCO NATURAL , FRUTA , PROPRIEDADE FAMILIAR , PROPRIEDADE RURAL , PRODUTOR RURAL , COOPERATIVA , ASSOCIAÇÃO RURAL , COMERCIALIZAÇÃO , CONSUMIDOR , INSPEÇÃO , FISCALIZAÇÃO , REGISTRO , ROTULO .;nao;;não;nao okay
LEI-n;13647;2018;Lei nº 13.647 de 09/04/2018;Estabelece a obrigatoriedade da instalação de equipamentos para evitar o desperdício de água em banheiros destinados ao público.;10/04/2018;;PLC 3636/2000;PL;3636;2000;Lincoln Portela;PL;MG;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-3636-2000;Meio Ambiente / Recursos Hídricos;Meio Ambiente;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-04-09;13647";OBRIGATORIEDADE , INSTALAÇÃO , EQUIPAMENTOS , AUTOMAÇÃO , ECONOMIA , SUSTENTABILIDADE , PREVENÇÃO , PERDA , AGUA .;nao;;não;nao okay
